date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2026/07/07,CORN,Mar,2027,3056,ZAR/Ton,ZAR,,1,JSE
2026/07/06,CORN,Mar,2027,3028,ZAR/Ton,ZAR,,1,JSE
2026/07/03,CORN,Mar,2027,2995,ZAR/Ton,ZAR,,1,JSE
2026/07/02,CORN,Mar,2027,2995,ZAR/Ton,ZAR,,1,JSE
2026/07/01,CORN,Mar,2027,2971,ZAR/Ton,ZAR,,1,JSE
2026/06/30,CORN,Mar,2027,2945,ZAR/Ton,ZAR,1,1,JSE
2026/02/27,CORN,Mar,2026,2701,ZAR/Ton,ZAR,0,544,JSE
2026/02/26,CORN,Mar,2026,2701,ZAR/Ton,ZAR,164,544,JSE
2026/02/25,CORN,Mar,2026,2686,ZAR/Ton,ZAR,49,692,JSE
2026/02/24,CORN,Mar,2026,2684,ZAR/Ton,ZAR,44,745,JSE
2026/02/23,CORN,Mar,2026,2670,ZAR/Ton,ZAR,492,758,JSE
2026/02/20,CORN,Mar,2026,2698,ZAR/Ton,ZAR,287,1151,JSE
2026/02/19,CORN,Mar,2026,2712,ZAR/Ton,ZAR,497,1418,JSE
2026/02/18,CORN,Mar,2026,2690,ZAR/Ton,ZAR,497,1856,JSE
2026/02/17,CORN,Mar,2026,2702,ZAR/Ton,ZAR,708,2303,JSE
2026/02/16,CORN,Mar,2026,2717,ZAR/Ton,ZAR,13,2970,JSE
2026/02/13,CORN,Mar,2026,2721,ZAR/Ton,ZAR,86,2970,JSE
2026/02/12,CORN,Mar,2026,2672,ZAR/Ton,ZAR,72,3055,JSE
2026/02/11,CORN,Mar,2026,2680,ZAR/Ton,ZAR,86,3062,JSE
2026/02/10,CORN,Mar,2026,2687,ZAR/Ton,ZAR,100,3117,JSE
2026/02/09,CORN,Mar,2026,2704,ZAR/Ton,ZAR,33,3142,JSE
2026/02/06,CORN,Mar,2026,2756,ZAR/Ton,ZAR,66,3141,JSE
2026/02/05,CORN,Mar,2026,2740,ZAR/Ton,ZAR,144,3145,JSE
2026/02/04,CORN,Mar,2026,2699,ZAR/Ton,ZAR,58,3076,JSE
2026/02/03,CORN,Mar,2026,2700,ZAR/Ton,ZAR,195,3024,JSE
2026/02/02,CORN,Mar,2026,2700,ZAR/Ton,ZAR,101,3034,JSE
2026/01/30,CORN,Mar,2026,2714,ZAR/Ton,ZAR,287,3022,JSE
2026/01/29,CORN,Mar,2026,2698,ZAR/Ton,ZAR,142,3021,JSE
2026/01/28,CORN,Mar,2026,2695,ZAR/Ton,ZAR,454,3013,JSE
2026/01/27,CORN,Mar,2026,2715,ZAR/Ton,ZAR,93,3028,JSE
2026/01/26,CORN,Mar,2026,2715,ZAR/Ton,ZAR,112,2984,JSE
2026/01/23,CORN,Mar,2026,2706,ZAR/Ton,ZAR,677,3006,JSE
2026/01/22,CORN,Mar,2026,2710,ZAR/Ton,ZAR,137,2568,JSE
2026/01/21,CORN,Mar,2026,2749,ZAR/Ton,ZAR,154,2451,JSE
2026/01/20,CORN,Mar,2026,2746,ZAR/Ton,ZAR,85,2578,JSE
2026/01/19,CORN,Mar,2026,2786,ZAR/Ton,ZAR,108,2554,JSE
2026/01/16,CORN,Mar,2026,2727,ZAR/Ton,ZAR,157,2561,JSE
2026/01/15,CORN,Mar,2026,2752,ZAR/Ton,ZAR,369,2445,JSE
2026/01/14,CORN,Mar,2026,2743,ZAR/Ton,ZAR,647,2120,JSE
2026/01/13,CORN,Mar,2026,2730,ZAR/Ton,ZAR,555,2329,JSE
2026/01/12,CORN,Mar,2026,2907,ZAR/Ton,ZAR,420,2110,JSE
2026/01/09,CORN,Mar,2026,2902,ZAR/Ton,ZAR,567,2373,JSE
