date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2026/03/24,SUNS,Mar,2026,8990,ZAR/Ton,ZAR,219,82,JSE
2026/03/23,SUNS,Mar,2026,9180,ZAR/Ton,ZAR,428,231,JSE
2026/03/20,SUNS,Mar,2026,9134,ZAR/Ton,ZAR,271,312,JSE
2026/03/19,SUNS,Mar,2026,9090,ZAR/Ton,ZAR,348,385,JSE
2026/03/18,SUNS,Mar,2026,9025,ZAR/Ton,ZAR,291,495,JSE
2026/03/17,SUNS,Mar,2026,9114,ZAR/Ton,ZAR,252,624,JSE
2026/03/16,SUNS,Mar,2026,9294,ZAR/Ton,ZAR,433,639,JSE
2026/03/13,SUNS,Mar,2026,9344,ZAR/Ton,ZAR,217,756,JSE
2026/03/12,SUNS,Mar,2026,9374,ZAR/Ton,ZAR,139,806,JSE
2026/03/11,SUNS,Mar,2026,9318,ZAR/Ton,ZAR,79,853,JSE
2026/03/10,SUNS,Mar,2026,9294,ZAR/Ton,ZAR,226,890,JSE
2026/03/09,SUNS,Mar,2026,9600,ZAR/Ton,ZAR,118,879,JSE
2026/03/06,SUNS,Mar,2026,9260,ZAR/Ton,ZAR,199,934,JSE
2026/03/05,SUNS,Mar,2026,9267,ZAR/Ton,ZAR,215,944,JSE
2026/03/04,SUNS,Mar,2026,9290,ZAR/Ton,ZAR,77,969,JSE
2026/03/03,SUNS,Mar,2026,9340,ZAR/Ton,ZAR,559,995,JSE
2026/03/02,SUNS,Mar,2026,9240,ZAR/Ton,ZAR,145,909,JSE
2026/02/27,SUNS,Mar,2026,9172,ZAR/Ton,ZAR,380,992,JSE
2026/02/26,SUNS,Mar,2026,9123,ZAR/Ton,ZAR,367,1037,JSE
2026/02/25,SUNS,Mar,2026,9082,ZAR/Ton,ZAR,502,1207,JSE
2026/02/24,SUNS,Mar,2026,9114,ZAR/Ton,ZAR,219,1330,JSE
2026/02/23,SUNS,Mar,2026,9150,ZAR/Ton,ZAR,167,1518,JSE
2026/02/20,SUNS,Mar,2026,9250,ZAR/Ton,ZAR,267,1563,JSE
2026/02/19,SUNS,Mar,2026,9083,ZAR/Ton,ZAR,193,1691,JSE
2026/02/18,SUNS,Mar,2026,9193,ZAR/Ton,ZAR,65,1669,JSE
2026/02/17,SUNS,Mar,2026,9244,ZAR/Ton,ZAR,142,1658,JSE
2026/02/16,SUNS,Mar,2026,9404,ZAR/Ton,ZAR,262,1700,JSE
2026/02/13,SUNS,Mar,2026,9638,ZAR/Ton,ZAR,152,1894,JSE
