date_week_ending,commodity,marketing_year_str,marketing_year_end_int,deliveries,adjustments,week_total
2018/03/02,SUNS,2018/19,2019,0,0,0
2018/03/09,SUNS,2018/19,2019,0,0,0
2018/03/16,SUNS,2018/19,2019,0,0,0
2018/03/23,SUNS,2018/19,2019,0,0,0
2018/03/30,SUNS,2018/19,2019,9243,370,9613
2018/04/06,SUNS,2018/19,2019,0,0,0
2018/04/13,SUNS,2018/19,2019,0,0,0
2018/04/20,SUNS,2018/19,2019,0,0,0
2018/04/27,SUNS,2018/19,2019,109543,134,109677
2018/05/04,SUNS,2018/19,2019,0,0,0
2018/05/11,SUNS,2018/19,2019,0,0,0
2018/05/18,SUNS,2018/19,2019,0,0,0
2018/05/25,SUNS,2018/19,2019,206928,24223,231151
2018/06/01,SUNS,2018/19,2019,2476,0,2476
2018/06/08,SUNS,2018/19,2019,39417,-181,39236
2018/06/15,SUNS,2018/19,2019,43972,1438,45410
2018/06/22,SUNS,2018/19,2019,50907,4203,55110
2018/06/29,SUNS,2018/19,2019,71729,36235,107964
2018/07/06,SUNS,2018/19,2019,75033,-3232,71801
2018/07/13,SUNS,2018/19,2019,49667,0,49667
2018/07/20,SUNS,2018/19,2019,35087,0,35087
2018/07/27,SUNS,2018/19,2019,25465,32686,58151
2018/08/03,SUNS,2018/19,2019,8684,-2712,5972
2018/08/10,SUNS,2018/19,2019,8246,0,8246
2018/08/17,SUNS,2018/19,2019,5015,0,5015
2018/08/24,SUNS,2018/19,2019,3065,0,3065
2018/08/31,SUNS,2018/19,2019,2293,8886,11179
2018/09/07,SUNS,2018/19,2019,761,0,761
2018/09/14,SUNS,2018/19,2019,465,0,465
2018/09/21,SUNS,2018/19,2019,374,0,374
2018/09/28,SUNS,2018/19,2019,155,3480,3635
2018/10/05,SUNS,2018/19,2019,149,-126,23
2018/10/12,SUNS,2018/19,2019,159,0,159
2018/10/19,SUNS,2018/19,2019,510,0,510
2018/10/26,SUNS,2018/19,2019,240,1141,1381
2018/11/02,SUNS,2018/19,2019,62,-42,20
2018/11/09,SUNS,2018/19,2019,100,0,100
2018/11/16,SUNS,2018/19,2019,88,0,88
2018/11/23,SUNS,2018/19,2019,78,0,78
2018/11/30,SUNS,2018/19,2019,223,2026,2249
2018/12/07,SUNS,2018/19,2019,150,0,150
2018/12/14,SUNS,2018/19,2019,105,0,105
2018/12/21,SUNS,2018/19,2019,5,0,5
2018/12/28,SUNS,2018/19,2019,6,449,455
2019/01/04,SUNS,2018/19,2019,1,0,1
2019/01/11,SUNS,2018/19,2019,25,-22,3
2019/01/18,SUNS,2018/19,2019,82,0,82
2019/01/25,SUNS,2018/19,2019,305,2426,2731
2019/02/01,SUNS,2018/19,2019,206,-181,25
2019/02/08,SUNS,2018/19,2019,88,0,88
2019/02/15,SUNS,2018/19,2019,86,0,86
2019/02/22,SUNS,2018/19,2019,185,605,790
2019/03/01,SUNS,2019/20,2020,759,-89,670
2019/03/08,SUNS,2019/20,2020,1216,13,1229
2019/03/15,SUNS,2019/20,2020,862,70,932
2019/03/22,SUNS,2019/20,2020,763,162,925
2019/03/29,SUNS,2019/20,2020,957,1282,2239
2019/04/05,SUNS,2019/20,2020,1907,-794,1113
2019/04/12,SUNS,2019/20,2020,1393,30,1423
2019/04/19,SUNS,2019/20,2020,5755,337,6092
2019/04/26,SUNS,2019/20,2020,2032,8049,10081
2019/05/03,SUNS,2019/20,2020,12701,-2675,10026
2019/05/10,SUNS,2019/20,2020,17240,340,17580
2019/05/17,SUNS,2019/20,2020,24711,213,24924
2019/05/24,SUNS,2019/20,2020,40986,260,41246
2019/05/31,SUNS,2019/20,2020,51829,21178,73007
2019/06/07,SUNS,2019/20,2020,54667,1464,56131
2019/06/14,SUNS,2019/20,2020,52620,531,53151
2019/06/21,SUNS,2019/20,2020,41575,1562,43137
2019/06/28,SUNS,2019/20,2020,48678,34426,83104
2019/07/05,SUNS,2019/20,2020,60559,-1438,59121
2019/07/12,SUNS,2019/20,2020,63782,0,63782
