date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2025/03/24,WMAZ,Mar,2025,5156,ZAR/Ton,ZAR,2881,715,JSE
2025/03/20,WMAZ,Mar,2025,5868,ZAR/Ton,ZAR,2262,1827,JSE
2025/03/19,WMAZ,Mar,2025,6288,ZAR/Ton,ZAR,1154,2536,JSE
2025/03/18,WMAZ,Mar,2025,6269,ZAR/Ton,ZAR,1092,2645,JSE
2025/03/17,WMAZ,Mar,2025,6317,ZAR/Ton,ZAR,1068,2946,JSE
2025/03/14,WMAZ,Mar,2025,5994,ZAR/Ton,ZAR,946,3409,JSE
2025/03/13,WMAZ,Mar,2025,5713,ZAR/Ton,ZAR,1105,3682,JSE
2025/03/12,WMAZ,Mar,2025,5971,ZAR/Ton,ZAR,898,3876,JSE
2025/03/11,WMAZ,Mar,2025,6229,ZAR/Ton,ZAR,1454,4068,JSE
2025/03/10,WMAZ,Mar,2025,6000,ZAR/Ton,ZAR,882,4507,JSE
2025/03/07,WMAZ,Mar,2025,5793,ZAR/Ton,ZAR,1126,4695,JSE
2025/03/06,WMAZ,Mar,2025,5480,ZAR/Ton,ZAR,1273,4986,JSE
2025/03/05,WMAZ,Mar,2025,5250,ZAR/Ton,ZAR,1112,5415,JSE
2025/03/04,WMAZ,Mar,2025,5310,ZAR/Ton,ZAR,1130,5620,JSE
2025/03/03,WMAZ,Mar,2025,5394,ZAR/Ton,ZAR,943,6005,JSE
2025/02/28,WMAZ,Mar,2025,5553,ZAR/Ton,ZAR,1367,6394,JSE
2025/02/27,WMAZ,Mar,2025,5508,ZAR/Ton,ZAR,1031,6574,JSE
2025/02/26,WMAZ,Mar,2025,5667,ZAR/Ton,ZAR,1053,6913,JSE
2025/02/25,WMAZ,Mar,2025,5724,ZAR/Ton,ZAR,1495,7289,JSE
2025/02/24,WMAZ,Mar,2025,5752,ZAR/Ton,ZAR,2806,8118,JSE
2025/02/21,WMAZ,Mar,2025,5760,ZAR/Ton,ZAR,3572,8202,JSE
2025/02/20,WMAZ,Mar,2025,5610,ZAR/Ton,ZAR,2699,8435,JSE
2025/02/19,WMAZ,Mar,2025,5460,ZAR/Ton,ZAR,3614,8575,JSE
2025/02/18,WMAZ,Mar,2025,5310,ZAR/Ton,ZAR,3649,8623,JSE
2025/02/17,WMAZ,Mar,2025,5260,ZAR/Ton,ZAR,2287,8955,JSE
2025/02/14,WMAZ,Mar,2025,5410,ZAR/Ton,ZAR,2257,9283,JSE
2025/02/13,WMAZ,Mar,2025,5514,ZAR/Ton,ZAR,3084,9466,JSE
2025/02/12,WMAZ,Mar,2025,5583,ZAR/Ton,ZAR,3010,9957,JSE
2025/02/11,WMAZ,Mar,2025,5508,ZAR/Ton,ZAR,2070,10516,JSE
2025/02/10,WMAZ,Mar,2025,5658,ZAR/Ton,ZAR,1567,10664,JSE
2025/02/07,WMAZ,Mar,2025,5712,ZAR/Ton,ZAR,3068,10914,JSE
2025/02/06,WMAZ,Mar,2025,5735,ZAR/Ton,ZAR,5945,11792,JSE
2025/02/05,WMAZ,Mar,2025,5705,ZAR/Ton,ZAR,2551,12913,JSE
2025/02/04,WMAZ,Mar,2025,5930,ZAR/Ton,ZAR,3729,13306,JSE
2025/02/03,WMAZ,Mar,2025,6155,ZAR/Ton,ZAR,1125,14030,JSE
2025/01/31,WMAZ,Mar,2025,6380,ZAR/Ton,ZAR,2344,14081,JSE
2025/01/30,WMAZ,Mar,2025,6243,ZAR/Ton,ZAR,2864,14672,JSE
2025/01/29,WMAZ,Mar,2025,6468,ZAR/Ton,ZAR,2097,14880,JSE
2025/01/28,WMAZ,Mar,2025,6640,ZAR/Ton,ZAR,1938,15139,JSE
2025/01/27,WMAZ,Mar,2025,6695,ZAR/Ton,ZAR,1483,14910,JSE
2025/01/24,WMAZ,Mar,2025,6545,ZAR/Ton,ZAR,1570,15286,JSE
2025/01/23,WMAZ,Mar,2025,6513,ZAR/Ton,ZAR,1600,15074,JSE
2025/01/22,WMAZ,Mar,2025,6569,ZAR/Ton,ZAR,2192,14991,JSE
2025/01/21,WMAZ,Mar,2025,6515,ZAR/Ton,ZAR,2323,14877,JSE
2025/01/20,WMAZ,Mar,2025,6515,ZAR/Ton,ZAR,1981,15477,JSE
2025/01/17,WMAZ,Mar,2025,6365,ZAR/Ton,ZAR,1468,15461,JSE
2025/01/16,WMAZ,Mar,2025,6341,ZAR/Ton,ZAR,2195,15322,JSE
2025/01/15,WMAZ,Mar,2025,6242,ZAR/Ton,ZAR,1617,15672,JSE
2025/01/14,WMAZ,Mar,2025,6092,ZAR/Ton,ZAR,1662,15956,JSE
2025/01/13,WMAZ,Mar,2025,6154,ZAR/Ton,ZAR,1982,16234,JSE
2025/01/10,WMAZ,Mar,2025,6099,ZAR/Ton,ZAR,1859,16517,JSE
2025/01/09,WMAZ,Mar,2025,6122,ZAR/Ton,ZAR,1994,16763,JSE
2025/01/08,WMAZ,Mar,2025,6237,ZAR/Ton,ZAR,2080,16971,JSE
2025/01/07,WMAZ,Mar,2025,6159,ZAR/Ton,ZAR,2968,17143,JSE
2025/01/06,WMAZ,Mar,2025,6279,ZAR/Ton,ZAR,1737,17609,JSE
2025/01/03,WMAZ,Mar,2025,6406,ZAR/Ton,ZAR,1281,17684,JSE
2025/01/02,WMAZ,Mar,2025,6192,ZAR/Ton,ZAR,1571,17726,JSE
2024/12/31,WMAZ,Mar,2025,6350,ZAR/Ton,ZAR,2027,17885,JSE
2024/12/30,WMAZ,Mar,2025,6131,ZAR/Ton,ZAR,2157,17807,JSE
2024/12/27,WMAZ,Mar,2025,6356,ZAR/Ton,ZAR,1292,18126,JSE
2024/12/24,WMAZ,Mar,2025,6581,ZAR/Ton,ZAR,1531,18383,JSE
2024/12/23,WMAZ,Mar,2025,6512,ZAR/Ton,ZAR,572,18156,JSE
2024/12/20,WMAZ,Mar,2025,6362,ZAR/Ton,ZAR,1399,18122,JSE
2024/12/19,WMAZ,Mar,2025,6315,ZAR/Ton,ZAR,2030,18073,JSE
2024/12/18,WMAZ,Mar,2025,6194,ZAR/Ton,ZAR,2884,17741,JSE
2024/12/17,WMAZ,Mar,2025,6071,ZAR/Ton,ZAR,1178,17728,JSE
2024/12/13,WMAZ,Mar,2025,5921,ZAR/Ton,ZAR,1863,17725,JSE
2024/12/12,WMAZ,Mar,2025,5933,ZAR/Ton,ZAR,2222,17625,JSE
2024/12/11,WMAZ,Mar,2025,6015,ZAR/Ton,ZAR,2759,17770,JSE
2024/12/10,WMAZ,Mar,2025,5870,ZAR/Ton,ZAR,2071,17933,JSE
2024/12/09,WMAZ,Mar,2025,5980,ZAR/Ton,ZAR,1755,18155,JSE
2024/12/06,WMAZ,Mar,2025,6023,ZAR/Ton,ZAR,1790,18181,JSE
2024/12/05,WMAZ,Mar,2025,5940,ZAR/Ton,ZAR,3194,18250,JSE
2024/12/04,WMAZ,Mar,2025,5972,ZAR/Ton,ZAR,1709,18589,JSE
2024/12/03,WMAZ,Mar,2025,5956,ZAR/Ton,ZAR,2964,18776,JSE
2024/12/02,WMAZ,Mar,2025,6086,ZAR/Ton,ZAR,2961,19130,JSE
2024/11/29,WMAZ,Mar,2025,6062,ZAR/Ton,ZAR,2623,19021,JSE
2024/11/28,WMAZ,Mar,2025,6083,ZAR/Ton,ZAR,1864,19069,JSE
2024/11/27,WMAZ,Mar,2025,5953,ZAR/Ton,ZAR,7262,19162,JSE
2024/11/26,WMAZ,Mar,2025,5881,ZAR/Ton,ZAR,2918,17836,JSE
2024/11/25,WMAZ,Mar,2025,5856,ZAR/Ton,ZAR,3041,17216,JSE
2024/11/22,WMAZ,Mar,2025,5920,ZAR/Ton,ZAR,2265,16754,JSE
2024/11/21,WMAZ,Mar,2025,5941,ZAR/Ton,ZAR,4450,16124,JSE
2024/11/20,WMAZ,Mar,2025,5850,ZAR/Ton,ZAR,3460,14374,JSE
2024/11/19,WMAZ,Mar,2025,6000,ZAR/Ton,ZAR,4011,13411,JSE
2024/11/18,WMAZ,Mar,2025,6024,ZAR/Ton,ZAR,3150,12194,JSE
2024/11/15,WMAZ,Mar,2025,5874,ZAR/Ton,ZAR,2578,11181,JSE
2024/11/14,WMAZ,Mar,2025,5870,ZAR/Ton,ZAR,2880,10646,JSE
2024/11/13,WMAZ,Mar,2025,5806,ZAR/Ton,ZAR,1846,9976,JSE
2024/11/12,WMAZ,Mar,2025,5770,ZAR/Ton,ZAR,1184,9148,JSE
2024/11/11,WMAZ,Mar,2025,5657,ZAR/Ton,ZAR,798,8865,JSE
2024/11/08,WMAZ,Mar,2025,5622,ZAR/Ton,ZAR,917,8570,JSE
2024/11/07,WMAZ,Mar,2025,5589,ZAR/Ton,ZAR,893,8301,JSE
2024/11/06,WMAZ,Mar,2025,5591,ZAR/Ton,ZAR,778,8175,JSE
2024/11/05,WMAZ,Mar,2025,5569,ZAR/Ton,ZAR,586,7940,JSE
2024/11/04,WMAZ,Mar,2025,5630,ZAR/Ton,ZAR,637,7750,JSE
2024/11/01,WMAZ,Mar,2025,5638,ZAR/Ton,ZAR,664,7631,JSE
2024/10/31,WMAZ,Mar,2025,5634,ZAR/Ton,ZAR,1549,7480,JSE
2024/10/30,WMAZ,Mar,2025,5564,ZAR/Ton,ZAR,1377,7364,JSE
2024/10/29,WMAZ,Mar,2025,5502,ZAR/Ton,ZAR,1167,7224,JSE
2024/10/28,WMAZ,Mar,2025,5488,ZAR/Ton,ZAR,723,7146,JSE
2024/10/25,WMAZ,Mar,2025,5413,ZAR/Ton,ZAR,557,7204,JSE
2024/10/24,WMAZ,Mar,2025,5391,ZAR/Ton,ZAR,549,7255,JSE
2024/10/23,WMAZ,Mar,2025,5351,ZAR/Ton,ZAR,234,7321,JSE
2024/10/22,WMAZ,Mar,2025,5328,ZAR/Ton,ZAR,564,7258,JSE
2024/10/21,WMAZ,Mar,2025,5292,ZAR/Ton,ZAR,683,7273,JSE
2024/10/18,WMAZ,Mar,2025,5373,ZAR/Ton,ZAR,925,7158,JSE
2024/10/17,WMAZ,Mar,2025,5320,ZAR/Ton,ZAR,452,7007,JSE
2024/10/16,WMAZ,Mar,2025,5359,ZAR/Ton,ZAR,930,6874,JSE
2024/10/15,WMAZ,Mar,2025,5373,ZAR/Ton,ZAR,1121,6784,JSE
2024/10/14,WMAZ,Mar,2025,5387,ZAR/Ton,ZAR,390,6735,JSE
2024/10/11,WMAZ,Mar,2025,5365,ZAR/Ton,ZAR,513,6701,JSE
2024/10/10,WMAZ,Mar,2025,5377,ZAR/Ton,ZAR,1041,6757,JSE
2024/10/09,WMAZ,Mar,2025,5412,ZAR/Ton,ZAR,706,6891,JSE
2024/10/08,WMAZ,Mar,2025,5307,ZAR/Ton,ZAR,420,6898,JSE
2024/10/07,WMAZ,Mar,2025,5296,ZAR/Ton,ZAR,498,6919,JSE
2024/10/04,WMAZ,Mar,2025,5236,ZAR/Ton,ZAR,363,6928,JSE
2024/10/03,WMAZ,Mar,2025,5214,ZAR/Ton,ZAR,295,7002,JSE
2024/10/02,WMAZ,Mar,2025,5226,ZAR/Ton,ZAR,451,6967,JSE
2024/10/01,WMAZ,Mar,2025,5199,ZAR/Ton,ZAR,554,6959,JSE
2024/09/30,WMAZ,Mar,2025,5177,ZAR/Ton,ZAR,867,6910,JSE
2024/09/27,WMAZ,Mar,2025,5159,ZAR/Ton,ZAR,982,6800,JSE
2024/09/26,WMAZ,Mar,2025,5200,ZAR/Ton,ZAR,1007,6570,JSE
2024/09/25,WMAZ,Mar,2025,5106,ZAR/Ton,ZAR,520,6544,JSE
2024/09/23,WMAZ,Mar,2025,5025,ZAR/Ton,ZAR,350,6575,JSE
2024/09/20,WMAZ,Mar,2025,5119,ZAR/Ton,ZAR,505,6562,JSE
2024/09/19,WMAZ,Mar,2025,5152,ZAR/Ton,ZAR,334,6517,JSE
2024/09/18,WMAZ,Mar,2025,5168,ZAR/Ton,ZAR,375,6396,JSE
2024/09/17,WMAZ,Mar,2025,5145,ZAR/Ton,ZAR,361,6364,JSE
2024/09/16,WMAZ,Mar,2025,5117,ZAR/Ton,ZAR,570,6289,JSE
2024/09/13,WMAZ,Mar,2025,5192,ZAR/Ton,ZAR,386,6249,JSE
2024/09/12,WMAZ,Mar,2025,5258,ZAR/Ton,ZAR,413,6230,JSE
2024/09/11,WMAZ,Mar,2025,5221,ZAR/Ton,ZAR,762,6248,JSE
2024/09/10,WMAZ,Mar,2025,5169,ZAR/Ton,ZAR,156,6132,JSE
2024/09/09,WMAZ,Mar,2025,5144,ZAR/Ton,ZAR,350,6115,JSE
2024/09/06,WMAZ,Mar,2025,5121,ZAR/Ton,ZAR,161,6075,JSE
2024/09/05,WMAZ,Mar,2025,5110,ZAR/Ton,ZAR,183,6047,JSE
2024/09/04,WMAZ,Mar,2025,5085,ZAR/Ton,ZAR,246,5982,JSE
2024/09/03,WMAZ,Mar,2025,5023,ZAR/Ton,ZAR,348,5971,JSE
2024/09/02,WMAZ,Mar,2025,5075,ZAR/Ton,ZAR,229,5962,JSE
2024/08/30,WMAZ,Mar,2025,5077,ZAR/Ton,ZAR,284,5793,JSE
2024/08/29,WMAZ,Mar,2025,5079,ZAR/Ton,ZAR,382,5769,JSE
2024/08/28,WMAZ,Mar,2025,5127,ZAR/Ton,ZAR,609,5751,JSE
