date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2025/03/24,SOYB,Mar,2025,9173,ZAR/Ton,ZAR,609,214,JSE
2025/03/20,SOYB,Mar,2025,8173,ZAR/Ton,ZAR,686,483,JSE
2025/03/19,SOYB,Mar,2025,8400,ZAR/Ton,ZAR,541,745,JSE
2025/03/18,SOYB,Mar,2025,8608,ZAR/Ton,ZAR,443,943,JSE
2025/03/17,SOYB,Mar,2025,8674,ZAR/Ton,ZAR,167,1051,JSE
2025/03/14,SOYB,Mar,2025,8360,ZAR/Ton,ZAR,330,1088,JSE
2025/03/13,SOYB,Mar,2025,8375,ZAR/Ton,ZAR,396,1043,JSE
2025/03/12,SOYB,Mar,2025,8370,ZAR/Ton,ZAR,192,1100,JSE
2025/03/11,SOYB,Mar,2025,8350,ZAR/Ton,ZAR,191,1133,JSE
2025/03/10,SOYB,Mar,2025,8352,ZAR/Ton,ZAR,308,1147,JSE
2025/03/07,SOYB,Mar,2025,8300,ZAR/Ton,ZAR,112,1135,JSE
2025/03/06,SOYB,Mar,2025,8371,ZAR/Ton,ZAR,261,1193,JSE
2025/03/05,SOYB,Mar,2025,8448,ZAR/Ton,ZAR,566,1176,JSE
2025/03/04,SOYB,Mar,2025,8520,ZAR/Ton,ZAR,487,1370,JSE
2025/03/03,SOYB,Mar,2025,8600,ZAR/Ton,ZAR,456,1467,JSE
2025/02/28,SOYB,Mar,2025,8670,ZAR/Ton,ZAR,1304,1582,JSE
2025/02/27,SOYB,Mar,2025,8850,ZAR/Ton,ZAR,545,2173,JSE
2025/02/26,SOYB,Mar,2025,8808,ZAR/Ton,ZAR,949,2274,JSE
2025/02/25,SOYB,Mar,2025,8595,ZAR/Ton,ZAR,417,2298,JSE
2025/02/24,SOYB,Mar,2025,8534,ZAR/Ton,ZAR,386,2251,JSE
2025/02/21,SOYB,Mar,2025,8586,ZAR/Ton,ZAR,985,2272,JSE
2025/02/20,SOYB,Mar,2025,8742,ZAR/Ton,ZAR,524,2516,JSE
2025/02/19,SOYB,Mar,2025,8716,ZAR/Ton,ZAR,868,2727,JSE
2025/02/18,SOYB,Mar,2025,8446,ZAR/Ton,ZAR,1210,2743,JSE
2025/02/17,SOYB,Mar,2025,8343,ZAR/Ton,ZAR,757,3069,JSE
2025/02/14,SOYB,Mar,2025,8422,ZAR/Ton,ZAR,524,3284,JSE
2025/02/13,SOYB,Mar,2025,8400,ZAR/Ton,ZAR,724,3293,JSE
2025/02/12,SOYB,Mar,2025,8556,ZAR/Ton,ZAR,800,3545,JSE
2025/02/11,SOYB,Mar,2025,8781,ZAR/Ton,ZAR,671,3839,JSE
2025/02/10,SOYB,Mar,2025,8897,ZAR/Ton,ZAR,815,4012,JSE
2025/02/07,SOYB,Mar,2025,9068,ZAR/Ton,ZAR,595,4234,JSE
2025/02/06,SOYB,Mar,2025,9130,ZAR/Ton,ZAR,561,4167,JSE
