date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2025/03/24,WEAT,Mar,2025,6194,ZAR/Ton,ZAR,468,525,JSE
2025/03/20,WEAT,Mar,2025,6156,ZAR/Ton,ZAR,1261,687,JSE
2025/03/19,WEAT,Mar,2025,6176,ZAR/Ton,ZAR,712,1008,JSE
2025/03/18,WEAT,Mar,2025,6181,ZAR/Ton,ZAR,486,1101,JSE
2025/03/17,WEAT,Mar,2025,6200,ZAR/Ton,ZAR,406,1318,JSE
2025/03/14,WEAT,Mar,2025,6202,ZAR/Ton,ZAR,402,1549,JSE
2025/03/13,WEAT,Mar,2025,6200,ZAR/Ton,ZAR,950,1791,JSE
2025/03/12,WEAT,Mar,2025,6170,ZAR/Ton,ZAR,591,2406,JSE
2025/03/11,WEAT,Mar,2025,6141,ZAR/Ton,ZAR,535,2762,JSE
2025/03/10,WEAT,Mar,2025,6120,ZAR/Ton,ZAR,144,2801,JSE
2025/03/07,WEAT,Mar,2025,6062,ZAR/Ton,ZAR,280,2874,JSE
2025/03/06,WEAT,Mar,2025,6141,ZAR/Ton,ZAR,470,2994,JSE
2025/03/05,WEAT,Mar,2025,6120,ZAR/Ton,ZAR,640,3328,JSE
2025/03/04,WEAT,Mar,2025,6099,ZAR/Ton,ZAR,544,3419,JSE
2025/03/03,WEAT,Mar,2025,6100,ZAR/Ton,ZAR,1401,3550,JSE
2025/02/28,WEAT,Mar,2025,6036,ZAR/Ton,ZAR,1206,3838,JSE
2025/02/27,WEAT,Mar,2025,6011,ZAR/Ton,ZAR,1531,4314,JSE
2025/02/26,WEAT,Mar,2025,5931,ZAR/Ton,ZAR,1175,4261,JSE
2025/02/25,WEAT,Mar,2025,5971,ZAR/Ton,ZAR,7933,4595,JSE
2025/02/24,WEAT,Mar,2025,6006,ZAR/Ton,ZAR,2284,11335,JSE
2025/02/21,WEAT,Mar,2025,6028,ZAR/Ton,ZAR,1764,12234,JSE
2025/02/20,WEAT,Mar,2025,6063,ZAR/Ton,ZAR,3227,13023,JSE
2025/02/19,WEAT,Mar,2025,6085,ZAR/Ton,ZAR,1310,14675,JSE
2025/02/18,WEAT,Mar,2025,6078,ZAR/Ton,ZAR,1807,15248,JSE
2025/02/17,WEAT,Mar,2025,6079,ZAR/Ton,ZAR,1456,16104,JSE
2025/02/14,WEAT,Mar,2025,6027,ZAR/Ton,ZAR,1207,16595,JSE
2025/02/13,WEAT,Mar,2025,6027,ZAR/Ton,ZAR,1036,17037,JSE
2025/02/12,WEAT,Mar,2025,6027,ZAR/Ton,ZAR,1142,17480,JSE
2025/02/11,WEAT,Mar,2025,6039,ZAR/Ton,ZAR,1398,17869,JSE
2025/02/10,WEAT,Mar,2025,6018,ZAR/Ton,ZAR,920,18186,JSE
2025/02/07,WEAT,Mar,2025,6050,ZAR/Ton,ZAR,1037,18272,JSE
2025/02/06,WEAT,Mar,2025,6043,ZAR/Ton,ZAR,995,18422,JSE
2025/02/05,WEAT,Mar,2025,6031,ZAR/Ton,ZAR,1748,18507,JSE
2025/02/04,WEAT,Mar,2025,6019,ZAR/Ton,ZAR,997,18609,JSE
2025/02/03,WEAT,Mar,2025,6048,ZAR/Ton,ZAR,1194,18467,JSE
2025/01/31,WEAT,Mar,2025,5994,ZAR/Ton,ZAR,1051,18485,JSE
2025/01/30,WEAT,Mar,2025,5990,ZAR/Ton,ZAR,2749,18479,JSE
2025/01/29,WEAT,Mar,2025,6077,ZAR/Ton,ZAR,2106,18943,JSE
2025/01/28,WEAT,Mar,2025,6012,ZAR/Ton,ZAR,2595,19350,JSE
2025/01/27,WEAT,Mar,2025,5936,ZAR/Ton,ZAR,2468,18891,JSE
2025/01/24,WEAT,Mar,2025,5936,ZAR/Ton,ZAR,1546,18530,JSE
2025/01/23,WEAT,Mar,2025,5999,ZAR/Ton,ZAR,1497,18216,JSE
2025/01/22,WEAT,Mar,2025,6096,ZAR/Ton,ZAR,1590,18014,JSE
2025/01/21,WEAT,Mar,2025,6129,ZAR/Ton,ZAR,912,17992,JSE
2025/01/20,WEAT,Mar,2025,6131,ZAR/Ton,ZAR,874,18037,JSE
2025/01/17,WEAT,Mar,2025,6145,ZAR/Ton,ZAR,907,17898,JSE
2025/01/16,WEAT,Mar,2025,6187,ZAR/Ton,ZAR,1064,17775,JSE
2025/01/15,WEAT,Mar,2025,6223,ZAR/Ton,ZAR,848,17839,JSE
2025/01/14,WEAT,Mar,2025,6238,ZAR/Ton,ZAR,851,17889,JSE
2025/01/13,WEAT,Mar,2025,6260,ZAR/Ton,ZAR,901,18059,JSE
2025/01/10,WEAT,Mar,2025,6235,ZAR/Ton,ZAR,943,18277,JSE
2025/01/09,WEAT,Mar,2025,6247,ZAR/Ton,ZAR,1376,18443,JSE
2025/01/08,WEAT,Mar,2025,6239,ZAR/Ton,ZAR,1624,18568,JSE
2025/01/07,WEAT,Mar,2025,6229,ZAR/Ton,ZAR,1929,18830,JSE
2025/01/06,WEAT,Mar,2025,6239,ZAR/Ton,ZAR,2746,19534,JSE
2025/01/03,WEAT,Mar,2025,6287,ZAR/Ton,ZAR,1021,20154,JSE
2025/01/02,WEAT,Mar,2025,6250,ZAR/Ton,ZAR,864,20447,JSE
2024/12/31,WEAT,Mar,2025,6200,ZAR/Ton,ZAR,871,20656,JSE
2024/12/30,WEAT,Mar,2025,6192,ZAR/Ton,ZAR,811,21036,JSE
2024/12/27,WEAT,Mar,2025,6131,ZAR/Ton,ZAR,465,21196,JSE
2024/12/24,WEAT,Mar,2025,6039,ZAR/Ton,ZAR,796,21120,JSE
2024/12/23,WEAT,Mar,2025,5940,ZAR/Ton,ZAR,767,21045,JSE
2024/12/20,WEAT,Mar,2025,5934,ZAR/Ton,ZAR,2818,20663,JSE
2024/12/19,WEAT,Mar,2025,5948,ZAR/Ton,ZAR,3192,19761,JSE
2024/12/18,WEAT,Mar,2025,5909,ZAR/Ton,ZAR,2090,18888,JSE
2024/12/17,WEAT,Mar,2025,5928,ZAR/Ton,ZAR,2908,18067,JSE
2024/12/13,WEAT,Mar,2025,5980,ZAR/Ton,ZAR,2994,17082,JSE
2024/12/12,WEAT,Mar,2025,6015,ZAR/Ton,ZAR,1657,16295,JSE
2024/12/11,WEAT,Mar,2025,6055,ZAR/Ton,ZAR,1516,15871,JSE
2024/12/10,WEAT,Mar,2025,6065,ZAR/Ton,ZAR,2437,15333,JSE
2024/12/09,WEAT,Mar,2025,6058,ZAR/Ton,ZAR,994,14645,JSE
