date,commodity,contract_month,contract_year,price,unit,currency,volume,open_interest,source
2025/03/24,YMAZ,Mar,2025,5256,ZAR/Ton,ZAR,1179,292,JSE
2025/03/20,YMAZ,Mar,2025,4890,ZAR/Ton,ZAR,2131,993,JSE
2025/03/19,YMAZ,Mar,2025,4913,ZAR/Ton,ZAR,947,1668,JSE
2025/03/18,YMAZ,Mar,2025,4894,ZAR/Ton,ZAR,920,1875,JSE
2025/03/17,YMAZ,Mar,2025,4862,ZAR/Ton,ZAR,643,2105,JSE
2025/03/14,YMAZ,Mar,2025,4764,ZAR/Ton,ZAR,520,2358,JSE
2025/03/13,YMAZ,Mar,2025,4768,ZAR/Ton,ZAR,336,2414,JSE
2025/03/12,YMAZ,Mar,2025,4861,ZAR/Ton,ZAR,691,2503,JSE
2025/03/11,YMAZ,Mar,2025,4906,ZAR/Ton,ZAR,670,2718,JSE
2025/03/10,YMAZ,Mar,2025,4880,ZAR/Ton,ZAR,786,2825,JSE
2025/03/07,YMAZ,Mar,2025,4820,ZAR/Ton,ZAR,553,3048,JSE
2025/03/06,YMAZ,Mar,2025,4806,ZAR/Ton,ZAR,865,3030,JSE
2025/03/05,YMAZ,Mar,2025,4660,ZAR/Ton,ZAR,771,3046,JSE
2025/03/04,YMAZ,Mar,2025,4696,ZAR/Ton,ZAR,397,3184,JSE
2025/03/03,YMAZ,Mar,2025,4815,ZAR/Ton,ZAR,980,3319,JSE
2025/02/28,YMAZ,Mar,2025,4870,ZAR/Ton,ZAR,863,3744,JSE
2025/02/27,YMAZ,Mar,2025,4784,ZAR/Ton,ZAR,481,3985,JSE
2025/02/26,YMAZ,Mar,2025,4784,ZAR/Ton,ZAR,1108,4038,JSE
2025/02/25,YMAZ,Mar,2025,4796,ZAR/Ton,ZAR,1967,4055,JSE
2025/02/24,YMAZ,Mar,2025,4896,ZAR/Ton,ZAR,1235,5098,JSE
2025/02/21,YMAZ,Mar,2025,4860,ZAR/Ton,ZAR,2713,5267,JSE
2025/02/20,YMAZ,Mar,2025,5010,ZAR/Ton,ZAR,2756,5703,JSE
2025/02/19,YMAZ,Mar,2025,4885,ZAR/Ton,ZAR,2194,6175,JSE
2025/02/18,YMAZ,Mar,2025,4802,ZAR/Ton,ZAR,2265,6639,JSE
2025/02/17,YMAZ,Mar,2025,4720,ZAR/Ton,ZAR,1814,7098,JSE
2025/02/14,YMAZ,Mar,2025,4840,ZAR/Ton,ZAR,1726,7771,JSE
2025/02/13,YMAZ,Mar,2025,4958,ZAR/Ton,ZAR,1730,8398,JSE
2025/02/12,YMAZ,Mar,2025,4976,ZAR/Ton,ZAR,1885,8874,JSE
2025/02/11,YMAZ,Mar,2025,4998,ZAR/Ton,ZAR,1874,9121,JSE
2025/02/10,YMAZ,Mar,2025,5135,ZAR/Ton,ZAR,1079,9419,JSE
2025/02/07,YMAZ,Mar,2025,5124,ZAR/Ton,ZAR,1697,9651,JSE
2025/02/06,YMAZ,Mar,2025,5131,ZAR/Ton,ZAR,2602,10074,JSE
2025/02/05,YMAZ,Mar,2025,5079,ZAR/Ton,ZAR,3002,10784,JSE
2025/02/04,YMAZ,Mar,2025,5205,ZAR/Ton,ZAR,2262,11475,JSE
2025/02/03,YMAZ,Mar,2025,5355,ZAR/Ton,ZAR,1893,11868,JSE
2025/01/31,YMAZ,Mar,2025,5505,ZAR/Ton,ZAR,2343,12205,JSE
2025/01/30,YMAZ,Mar,2025,5428,ZAR/Ton,ZAR,1850,12751,JSE
2025/01/29,YMAZ,Mar,2025,5578,ZAR/Ton,ZAR,1456,13000,JSE
2025/01/28,YMAZ,Mar,2025,5641,ZAR/Ton,ZAR,2081,13065,JSE
2025/01/27,YMAZ,Mar,2025,5672,ZAR/Ton,ZAR,2315,12980,JSE
2025/01/24,YMAZ,Mar,2025,5548,ZAR/Ton,ZAR,1390,13198,JSE
2025/01/23,YMAZ,Mar,2025,5552,ZAR/Ton,ZAR,1638,13248,JSE
2025/01/22,YMAZ,Mar,2025,5583,ZAR/Ton,ZAR,1679,13351,JSE
2025/01/21,YMAZ,Mar,2025,5508,ZAR/Ton,ZAR,1027,13308,JSE
2025/01/20,YMAZ,Mar,2025,5488,ZAR/Ton,ZAR,2082,13193,JSE
2025/01/17,YMAZ,Mar,2025,5460,ZAR/Ton,ZAR,862,13475,JSE
2025/01/16,YMAZ,Mar,2025,5464,ZAR/Ton,ZAR,1588,13375,JSE
2025/01/15,YMAZ,Mar,2025,5503,ZAR/Ton,ZAR,1210,13384,JSE
2025/01/14,YMAZ,Mar,2025,5456,ZAR/Ton,ZAR,1180,13276,JSE
2025/01/13,YMAZ,Mar,2025,5455,ZAR/Ton,ZAR,1152,13146,JSE
