Marketing Year,Week No,Commodity,Flow,Country,Port,Tons
2021/22,1,Wheat,Export of Imported Wheat,BOTSWANA,,499
2021/22,1,Wheat,Export of Imported Wheat,LESOTHO,,109
2021/22,1,Wheat,Import for RSA,LITHUANIA,,4370
2021/22,1,Wheat,Import per Harbour,,Durban,3725
2021/22,1,Wheat,Import per Harbour,,Port Elizabeth,645
2021/22,1,Wheat,RSA Export,ESWATINI (SWAZILAND),,34
2021/22,2,Wheat,Export of Imported Wheat,BOTSWANA,,850
2021/22,2,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,1361
2021/22,2,Wheat,Export of Imported Wheat,LESOTHO,,491
2021/22,2,Wheat,Export of Imported Wheat,MOZAMBIQUE,,749
2021/22,2,Wheat,Import for Other Countries,LITHUANIA,,19866
2021/22,2,Wheat,Import for RSA,LATVIA,,5277
2021/22,2,Wheat,Import for RSA,LITHUANIA,,78966
2021/22,2,Wheat,Import per Harbour,,Cape Town,5277
2021/22,2,Wheat,Import per Harbour,,Durban,68687
2021/22,2,Wheat,Import per Harbour,,Port Elizabeth,3976
2021/22,2,Wheat,Import per Harbour,,Richards Bay,26169
2021/22,2,Wheat,RSA Export,BOTSWANA,,71
2021/22,2,Wheat,RSA Export,ESWATINI (SWAZILAND),,327
2021/22,2,Wheat,RSA Export,NAMIBIA,,304
2021/22,3,Wheat,Export of Imported Wheat,BOTSWANA,,1702
2021/22,3,Wheat,Export of Imported Wheat,ESWATINI (SWAZILAND),,662
2021/22,3,Wheat,Export of Imported Wheat,LESOTHO,,122
2021/22,3,Wheat,Export of Imported Wheat,MOZAMBIQUE,,491
2021/22,3,Wheat,Import for RSA,LATVIA,,3879
2021/22,3,Wheat,Import for RSA,LITHUANIA,,3034
2021/22,3,Wheat,Import for RSA,UNITED STATES,,10332
2021/22,3,Wheat,Import per Harbour,,Cape Town,3740
2021/22,3,Wheat,Import per Harbour,,Durban,13366
2021/22,3,Wheat,Import per Harbour,,Richards Bay,139
2021/22,3,Wheat,RSA Export,BOTSWANA,,204
2021/22,3,Wheat,RSA Export,ESWATINI (SWAZILAND),,205
2021/22,3,Wheat,RSA Export,NAMIBIA,,1185
2021/22,3,Wheat,RSA Export,ZIMBABWE,,34
2021/22,4,Wheat,Export of Imported Wheat,BOTSWANA,,1217
2021/22,4,Wheat,Export of Imported Wheat,MOZAMBIQUE,,932
2021/22,4,Wheat,Export of Imported Wheat,ZIMBABWE,,66
2021/22,4,Wheat,Import for Other Countries,LATVIA,,5010
2021/22,4,Wheat,Import for RSA,LATVIA,,17225
2021/22,4,Wheat,Import for RSA,LITHUANIA,,44848
2021/22,4,Wheat,Import per Harbour,,Durban,44848
2021/22,4,Wheat,Import per Harbour,,Richards Bay,22235
