Marketing Year,Week No,Commodity,Flow,Country,Port,Tons
2019/20,1,White Maize,RSA Export,BOTSWANA,,1618
2019/20,1,White Maize,RSA Export,ESWATINI (SWAZILAND),,858
2019/20,1,White Maize,RSA Export,LESOTHO,,712
2019/20,1,White Maize,RSA Export,MOZAMBIQUE,,309
2019/20,1,White Maize,RSA Export,NAMIBIA,,1510
2019/20,1,Yellow Maize,RSA Export,BOTSWANA,,859
2019/20,1,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1162
2019/20,1,Yellow Maize,RSA Export,MOZAMBIQUE,,479
2019/20,1,Yellow Maize,RSA Export,NAMIBIA,,530
2019/20,2,White Maize,RSA Export,BOTSWANA,,3702
2019/20,2,White Maize,RSA Export,ESWATINI (SWAZILAND),,1114
2019/20,2,White Maize,RSA Export,LESOTHO,,308
2019/20,2,White Maize,RSA Export,MOZAMBIQUE,,1998
2019/20,2,White Maize,RSA Export,NAMIBIA,,1885
2019/20,2,Yellow Maize,Export per Harbour,,Durban,772
2019/20,2,Yellow Maize,RSA Export,BOTSWANA,,2547
2019/20,2,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2229
2019/20,2,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,276
2019/20,2,Yellow Maize,RSA Export,"KOREA, REP OF",,496
2019/20,2,Yellow Maize,RSA Export,LESOTHO,,26
2019/20,2,Yellow Maize,RSA Export,MOZAMBIQUE,,782
2019/20,2,Yellow Maize,RSA Export,NAMIBIA,,413
2019/20,3,White Maize,RSA Export,BOTSWANA,,3798
2019/20,3,White Maize,RSA Export,ESWATINI (SWAZILAND),,866
2019/20,3,White Maize,RSA Export,LESOTHO,,1276
2019/20,3,White Maize,RSA Export,MOZAMBIQUE,,2307
2019/20,3,White Maize,RSA Export,NAMIBIA,,2536
2019/20,3,Yellow Maize,RSA Export,BOTSWANA,,1633
2019/20,3,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1787
2019/20,3,Yellow Maize,RSA Export,MOZAMBIQUE,,1120
2019/20,3,Yellow Maize,RSA Export,NAMIBIA,,1129
2019/20,4,White Maize,RSA Export,BOTSWANA,,3672
2019/20,4,White Maize,RSA Export,ESWATINI (SWAZILAND),,1300
2019/20,4,White Maize,RSA Export,MOZAMBIQUE,,1252
2019/20,4,White Maize,RSA Export,NAMIBIA,,2010
2019/20,4,Yellow Maize,Export per Harbour,,Durban,492
2019/20,4,Yellow Maize,Import for RSA,ARGENTINA,,23121
2019/20,4,Yellow Maize,Import per Harbour,,Cape Town,23121
2019/20,4,Yellow Maize,RSA Export,BOTSWANA,,1715
2019/20,4,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,1267
2019/20,4,Yellow Maize,RSA Export,"KOREA, REP OF",,492
2019/20,4,Yellow Maize,RSA Export,MOZAMBIQUE,,1600
2019/20,4,Yellow Maize,RSA Export,NAMIBIA,,1648
2019/20,5,White Maize,Export per Harbour,,Durban,32982
2019/20,5,White Maize,RSA Export,BOTSWANA,,3926
2019/20,5,White Maize,RSA Export,ESWATINI (SWAZILAND),,474
2019/20,5,White Maize,RSA Export,LESOTHO,,654
2019/20,5,White Maize,RSA Export,MOZAMBIQUE,,1084
2019/20,5,White Maize,RSA Export,NAMIBIA,,2048
2019/20,5,White Maize,RSA Export,TANZANIA,,12982
2019/20,5,White Maize,RSA Export,UGANDA,,20000
2019/20,5,Yellow Maize,Export per Harbour,,Durban,2763
2019/20,5,Yellow Maize,Import for RSA,ARGENTINA,,19374
2019/20,5,Yellow Maize,Import per Harbour,,Cape Town,19374
2019/20,5,Yellow Maize,RSA Export,BOTSWANA,,1370
2019/20,5,Yellow Maize,RSA Export,ESWATINI (SWAZILAND),,2329
2019/20,5,Yellow Maize,RSA Export,"KOREA, DEM PEOPLES REP",,2231
2019/20,5,Yellow Maize,RSA Export,"KOREA, REP OF",,532
2019/20,5,Yellow Maize,RSA Export,LESOTHO,,19
2019/20,5,Yellow Maize,RSA Export,MOZAMBIQUE,,1053
2019/20,5,Yellow Maize,RSA Export,NAMIBIA,,2535
2019/20,6,White Maize,RSA Export,BOTSWANA,,3241
2019/20,6,White Maize,RSA Export,ESWATINI (SWAZILAND),,196
2019/20,6,White Maize,RSA Export,MOZAMBIQUE,,1488
